 ******* Program HYDRUS
 ******* 
 Example 2 - test for codes                                              
 
 Units: L = cm   , T = days 


 Time:       91.0000


 Node    Depth      Head Moisture       K          C         Flux        Sink
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]

   1     0.00     -55.000 0.3331   0.9002E+00  0.0000E+00  0.0000E+00  0.0000E+00
   2    -1.00     -54.000 0.3342   0.9320E+00  0.0000E+00  0.0000E+00  0.0000E+00
   3    -2.00     -53.000 0.3353   0.9639E+00  0.0000E+00  0.0000E+00  0.0000E+00
   4    -4.00     -51.000 0.3375   0.1028E+01  0.0000E+00  0.0000E+00  0.0000E+00
   5    -6.00     -49.000 0.3398   0.1091E+01  0.0000E+00  0.0000E+00  0.0000E+00
   6   -10.00     -45.000 0.3445   0.1274E+01  0.0000E+00  0.0000E+00  0.0000E+00
   7   -15.00     -40.000 0.3506   0.1545E+01  0.0000E+00  0.0000E+00  0.0000E+00
   8   -20.00     -35.000 0.3569   0.1902E+01  0.0000E+00  0.0000E+00  0.0000E+00
   9   -25.00     -30.000 0.3634   0.2338E+01  0.0000E+00  0.0000E+00  0.0000E+00
  10   -30.00     -25.000 0.3700   0.2995E+01  0.0000E+00  0.0000E+00  0.0000E+00
  11   -40.00     -15.000 0.3834   0.5150E+01  0.0000E+00  0.0000E+00  0.0000E+00
  12   -50.00      -5.000 0.3372   0.2900E+02  0.0000E+00  0.0000E+00  0.0000E+00
  13   -60.00       5.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  14   -70.00      15.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  15   -80.00      25.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  16   -90.00      35.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  17  -100.00      45.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  18  -110.00      55.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  19  -120.00      65.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  20  -130.00      75.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  21  -140.00      85.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  22  -150.00      95.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  23  -160.00     105.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  24  -170.00     115.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  25  -180.00     125.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  26  -190.00     135.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  27  -200.00     145.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  28  -210.00     155.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  29  -220.00     165.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
  30  -225.00     170.000 0.3390   0.4534E+02  0.0000E+00  0.0000E+00  0.0000E+00
