 ******* Program HYDRUS
 ******* 
 Example 2 - test for codes                                              
 
 Units: L = cm   , T = days 


   TLevel   Time         dt      Iter    ItCum  KodT  KodB  Convergency

      1 0.91100E+02 0.10000E+00    2        2    -4    -1     T
      2 0.91229E+02 0.12857E+00    2        4    -4    -1     T
      3 0.91383E+02 0.15429E+00    2        6    -4    -1     T
      4 0.91589E+02 0.20571E+00    2        8    -4    -1     T
      5 0.92000E+02 0.41143E+00    2       10    -4    -1     T


   TLevel   Time         dt      Iter    ItCum  KodT  KodB  Convergency

      1 0.90411E+02 0.41143E+00    5        5    -4    -1     T
      2 0.90823E+02 0.41143E+00    4        9    -4    -1     T
      3 0.91000E+02 0.17714E+00    2       11    -4    -1     T
end
