    2
    1  0.000000e+000  1.000000e+000  1.000000e+000
    2 -1.200000e+002  1.000000e+000  1.000000e+000
   11    1    
    n  x              swc              Mat  Lay      Beta     
    1  0.000000e+000  0.100000e+000    1    1  0.000000e+000 
    2 -1.000000e+000  0.110000e+000    1    1  1.000000e+000 
    3 -4.000000e+000  0.110000e+000    1    1  1.000000e+000 
    4 -1.500000e+001  0.130000e+000    1    1  1.000000e+000
    5 -3.000000e+001  0.140000e+000    2    2  1.000000e+000
    6 -4.500000e+001  0.150000e+000    2    2  1.000000e+000
    7 -6.000000e+001  0.160000e+000    3    3  1.000000e+000
    8 -7.500000e+001  0.170000e+000    3    3  1.000000e+000
    9 -9.000000e+001  0.180000e+000    3    3  1.000000e+000
   10 -1.050000e+002  0.190000e+000    3    3  0.000000e+000
   11 -1.200000e+002  0.200000e+000    3    3  0.000000e+000
    0
