 ******* Program HYDRUS
 ******* James Reserves, Riverside, CA                                           

 Units: L = cm   , T = days 

 Year  Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

2000        0.0001  0.10542E+00  0.00000E+00  0.32177E+20  0.00000E+00 -0.91937E+19  0.10542E-04  0.00000E+00  0.32177E+16  0.00000E+00 -0.91937E+15 -0.22966E+05 -0.28722E-08 -0.10000E+11 -0.32177E+20 -0.32177E+16  0.17511E+02  0.00000E+00  0.32177E+16      1  0.00000E+00
2000        1.0001 -0.28803E+01  0.00000E+00  0.34254E+04  0.00000E+00 -0.17579E+05 -0.28803E-03  0.00000E+00  0.34254E+00  0.00000E+00 -0.17579E+01 -0.22966E+05 -0.10000E+11  0.10000E+11 -0.34282E+04 -0.34282E+00  0.12722E+01  0.29852E-03  0.34283E+00      1  0.00000E+00
2000       -0.0000 -0.28803E+01  0.00000E+00  0.71568E+01  0.00000E+00  0.12488E-22  0.28803E+01  0.00000E+00 -0.68150E+01  0.00000E+00 -0.17579E+01 -0.22966E+05  0.10000E+11 -0.89998E+10 -0.10037E+02  0.96953E+01  0.83789E+01 -0.29852E+01 -0.98002E+01      2  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.13378E+00  0.00000E+00 -0.97149E-22  0.28803E+01  0.00000E+00 -0.68150E+01  0.00000E+00 -0.17579E+01 -0.22966E+05 -0.22500E+10 -0.89998E+10 -0.30141E+01  0.96953E+01  0.16454E+01 -0.29852E+01 -0.98002E+01      3  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00 -0.48069E+09 -0.21716E+01 -0.20006E-20  0.28803E+01  0.00000E+00  0.80115E+08  0.36194E+00 -0.17579E+01 -0.22966E+05 -0.22507E+10 -0.90007E+10  0.00000E+00  0.96953E+01  0.52601E+01 -0.80115E+08 -0.98002E+01      5  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.14332E+03 -0.10272E+03 -0.29909E-01  0.28803E+01  0.00000E+00  0.80115E+08  0.22641E+01 -0.17574E+01 -0.27073E+01 -0.22520E+10 -0.36661E+09 -0.14620E+03  0.12403E+02  0.59365E+01 -0.80115E+08 -0.12508E+02      7  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.38152E+03 -0.35450E+03 -0.91983E-12  0.28803E+01  0.00000E+00  0.80115E+08  0.44524E+01 -0.17574E+01 -0.23728E+01 -0.53667E+07 -0.12977E+09 -0.38440E+03  0.14775E+02  0.59371E+01 -0.80115E+08 -0.14880E+02      9  0.00000E+00
2000        0.0000 -0.28803E+01  0.00000E+00  0.12927E+03 -0.35455E+03 -0.28664E-04  0.28803E+01  0.00000E+00  0.80115E+08  0.66410E+01 -0.17574E+01  0.27641E+01 -0.72634E+07 -0.12979E+09 -0.13216E+03  0.15591E+02  0.45813E+01 -0.80115E+08 -0.15696E+02     11  0.00000E+00
